23. (QUESTION) - Satisfacción Global (SUS)
[['Creo que me gustaría usar esta aplicación frecuentemente', 'De acuerdo'], ['Encontré la aplicación innecesariamente compleja.', 'En Desacuerdo'], ['Pienso que la aplicación ha sido fácil de usar.', 'Completamente de acuerdo'], ['Creo que necesitaría la ayuda de una persona técnica para utilizar esta aplicación.', 'En Desacuerdo'], ['Creo que las diferentes funciones de la aplicación están bien integradas', 'Completamente de acuerdo'], ['Creo que hay demasiadas inconsistencias en la aplicación.', 'En Desacuerdo'], ['Imagino que la mayoría de la gente aprendería a usar esta aplicación muy rápidamente', 'Completamente de acuerdo'], ['Encontré la aplicación muy engorrosa de usar.', 'Completamente en desacuerdo'], ['Me sentí muy seguro usando la aplicación.', 'En Desacuerdo'], ['Necesité aprender muchas cosas antes de poder empezar a utilizar la aplicación.', 'Completamente en desacuerdo']]
[['Creo que me gustaría usar esta aplicación frecuentemente', 'De acuerdo'], ['Encontré la aplicación innecesariamente compleja.', 'En Desacuerdo'], ['Pienso que la aplicación ha sido fácil de usar.', 'De acuerdo'], ['Creo que necesitaría la ayuda de una persona técnica para utilizar esta aplicación.', 'De acuerdo'], ['Creo que las diferentes funciones de la aplicación están bien integradas', 'En Desacuerdo'], ['Creo que hay demasiadas inconsistencias en la aplicación.', 'De acuerdo'], ['Imagino que la mayoría de la gente aprendería a usar esta aplicación muy rápidamente', 'Sin opinión'], ['Encontré la aplicación muy engorrosa de usar.', 'Sin opinión'], ['Me sentí muy seguro usando la aplicación.', 'Sin opinión'], ['Necesité aprender muchas cosas antes de poder empezar a utilizar la aplicación.', 'Sin opinión']]
[['Creo que me gustaría usar esta aplicación frecuentemente', 'Sin opinión'], ['Encontré la aplicación innecesariamente compleja.', 'Completamente en desacuerdo'], ['Pienso que la aplicación ha sido fácil de usar.', 'De acuerdo'], ['Creo que necesitaría la ayuda de una persona técnica para utilizar esta aplicación.', 'Completamente en desacuerdo'], ['Creo que las diferentes funciones de la aplicación están bien integradas', 'Sin opinión'], ['Creo que hay demasiadas inconsistencias en la aplicación.', 'Completamente en desacuerdo'], ['Imagino que la mayoría de la gente aprendería a usar esta aplicación muy rápidamente', 'De acuerdo'], ['Encontré la aplicación muy engorrosa de usar.', 'Completamente en desacuerdo'], ['Me sentí muy seguro usando la aplicación.', 'Completamente de acuerdo'], ['Necesité aprender muchas cosas antes de poder empezar a utilizar la aplicación.', 'En Desacuerdo']]
[['Creo que me gustaría usar esta aplicación frecuentemente', 'Sin opinión'], ['Encontré la aplicación innecesariamente compleja.', 'Completamente en desacuerdo'], ['Pienso que la aplicación ha sido fácil de usar.', 'De acuerdo'], ['Creo que necesitaría la ayuda de una persona técnica para utilizar esta aplicación.', 'En Desacuerdo'], ['Creo que las diferentes funciones de la aplicación están bien integradas', 'Sin opinión'], ['Creo que hay demasiadas inconsistencias en la aplicación.', 'Completamente en desacuerdo'], ['Imagino que la mayoría de la gente aprendería a usar esta aplicación muy rápidamente', 'En Desacuerdo'], ['Encontré la aplicación muy engorrosa de usar.', 'En Desacuerdo'], ['Me sentí muy seguro usando la aplicación.', 'Sin opinión'], ['Necesité aprender muchas cosas antes de poder empezar a utilizar la aplicación.', 'Completamente en desacuerdo']]
[['Creo que me gustaría usar esta aplicación frecuentemente', 'Completamente de acuerdo'], ['Encontré la aplicación innecesariamente compleja.', 'De acuerdo'], ['Pienso que la aplicación ha sido fácil de usar.', 'Completamente de acuerdo'], ['Creo que necesitaría la ayuda de una persona técnica para utilizar esta aplicación.', 'De acuerdo'], ['Creo que las diferentes funciones de la aplicación están bien integradas', 'Completamente de acuerdo'], ['Creo que hay demasiadas inconsistencias en la aplicación.', 'Sin opinión'], ['Imagino que la mayoría de la gente aprendería a usar esta aplicación muy rápidamente', 'Completamente de acuerdo'], ['Encontré la aplicación muy engorrosa de usar.', 'Sin opinión'], ['Me sentí muy seguro usando la aplicación.', 'Sin opinión'], ['Necesité aprender muchas cosas antes de poder empezar a utilizar la aplicación.', 'Sin opinión']]
[['Creo que me gustaría usar esta aplicación frecuentemente', 'Sin opinión'], ['Encontré la aplicación innecesariamente compleja.', 'Sin opinión'], ['Pienso que la aplicación ha sido fácil de usar.', 'De acuerdo'], ['Creo que necesitaría la ayuda de una persona técnica para utilizar esta aplicación.', 'De acuerdo'], ['Creo que las diferentes funciones de la aplicación están bien integradas', 'Completamente de acuerdo'], ['Creo que hay demasiadas inconsistencias en la aplicación.', 'En Desacuerdo'], ['Imagino que la mayoría de la gente aprendería a usar esta aplicación muy rápidamente', 'Completamente de acuerdo'], ['Encontré la aplicación muy engorrosa de usar.', 'Completamente de acuerdo'], ['Me sentí muy seguro usando la aplicación.', 'Completamente de acuerdo'], ['Necesité aprender muchas cosas antes de poder empezar a utilizar la aplicación.', 'Completamente de acuerdo']]
[['Creo que me gustaría usar esta aplicación frecuentemente', 'Completamente de acuerdo'], ['Encontré la aplicación innecesariamente compleja.', 'En Desacuerdo'], ['Pienso que la aplicación ha sido fácil de usar.', 'Sin opinión'], ['Creo que necesitaría la ayuda de una persona técnica para utilizar esta aplicación.', 'De acuerdo'], ['Creo que las diferentes funciones de la aplicación están bien integradas', 'Sin opinión'], ['Creo que hay demasiadas inconsistencias en la aplicación.', 'De acuerdo'], ['Imagino que la mayoría de la gente aprendería a usar esta aplicación muy rápidamente', 'De acuerdo'], ['Encontré la aplicación muy engorrosa de usar.', 'Sin opinión'], ['Me sentí muy seguro usando la aplicación.', 'En Desacuerdo'], ['Necesité aprender muchas cosas antes de poder empezar a utilizar la aplicación.', 'En Desacuerdo']]
[['Creo que me gustaría usar esta aplicación frecuentemente', 'Completamente de acuerdo'], ['Encontré la aplicación innecesariamente compleja.', 'De acuerdo'], ['Pienso que la aplicación ha sido fácil de usar.', 'Sin opinión'], ['Creo que necesitaría la ayuda de una persona técnica para utilizar esta aplicación.', 'En Desacuerdo'], ['Creo que las diferentes funciones de la aplicación están bien integradas', 'De acuerdo'], ['Creo que hay demasiadas inconsistencias en la aplicación.', 'En Desacuerdo'], ['Imagino que la mayoría de la gente aprendería a usar esta aplicación muy rápidamente', 'De acuerdo'], ['Encontré la aplicación muy engorrosa de usar.', 'En Desacuerdo'], ['Me sentí muy seguro usando la aplicación.', 'De acuerdo'], ['Necesité aprender muchas cosas antes de poder empezar a utilizar la aplicación.', 'En Desacuerdo']]
[['Creo que me gustaría usar esta aplicación frecuentemente', 'De acuerdo'], ['Encontré la aplicación innecesariamente compleja.', 'En Desacuerdo'], ['Pienso que la aplicación ha sido fácil de usar.', 'Completamente de acuerdo'], ['Creo que necesitaría la ayuda de una persona técnica para utilizar esta aplicación.', 'Completamente de acuerdo'], ['Creo que las diferentes funciones de la aplicación están bien integradas', 'De acuerdo'], ['Creo que hay demasiadas inconsistencias en la aplicación.', 'Completamente en desacuerdo'], ['Imagino que la mayoría de la gente aprendería a usar esta aplicación muy rápidamente', 'Completamente de acuerdo'], ['Encontré la aplicación muy engorrosa de usar.', 'Completamente en desacuerdo'], ['Me sentí muy seguro usando la aplicación.', 'De acuerdo'], ['Necesité aprender muchas cosas antes de poder empezar a utilizar la aplicación.', 'Completamente en desacuerdo']]
[['Creo que me gustaría usar esta aplicación frecuentemente', 'Sin opinión'], ['Encontré la aplicación innecesariamente compleja.', 'Sin opinión'], ['Pienso que la aplicación ha sido fácil de usar.', 'Sin opinión'], ['Creo que necesitaría la ayuda de una persona técnica para utilizar esta aplicación.', 'Sin opinión'], ['Creo que las diferentes funciones de la aplicación están bien integradas', 'Sin opinión'], ['Creo que hay demasiadas inconsistencias en la aplicación.', 'Sin opinión'], ['Imagino que la mayoría de la gente aprendería a usar esta aplicación muy rápidamente', 'Sin opinión'], ['Encontré la aplicación muy engorrosa de usar.', 'Sin opinión'], ['Me sentí muy seguro usando la aplicación.', 'Sin opinión'], ['Necesité aprender muchas cosas antes de poder empezar a utilizar la aplicación.', 'Sin opinión']]
[['Creo que me gustaría usar esta aplicación frecuentemente', 'De acuerdo'], ['Encontré la aplicación innecesariamente compleja.', 'Sin opinión'], ['Pienso que la aplicación ha sido fácil de usar.', 'Sin opinión'], ['Creo que necesitaría la ayuda de una persona técnica para utilizar esta aplicación.', 'Sin opinión'], ['Creo que las diferentes funciones de la aplicación están bien integradas', 'De acuerdo'], ['Creo que hay demasiadas inconsistencias en la aplicación.', 'Completamente en desacuerdo'], ['Imagino que la mayoría de la gente aprendería a usar esta aplicación muy rápidamente', 'Completamente de acuerdo'], ['Encontré la aplicación muy engorrosa de usar.', 'Completamente en desacuerdo'], ['Me sentí muy seguro usando la aplicación.', 'Sin opinión'], ['Necesité aprender muchas cosas antes de poder empezar a utilizar la aplicación.', 'Sin opinión']]
